Country/Region,pop2020,area,Density,GrowthRate,WorldPercentage,rank,pop2019,pop2050,pop2030,pop2015,pop2010,pop2000,pop1990,pop1980,pop1970
Benin,12123.2,112622,107.645,1.0273,0.0016,77,11801.151,24280.477,15672.304,10575.952,9199.259,6865.951,4978.496,3717.165,2912.34
Bermuda,62.278,54,1153.2963,0.9964,0,205,62.506,53.278,60.492,63.692,65.389,65.012,61.634,57.573,52.565
Bhutan,771.608,38394,20.0971,1.0112,0.0001,165,763.092,904.616,842.67,727.876,685.503,591.021,530.804,406.875,297.316
Bolivia,11673.021,1098581,10.6255,1.0139,0.0015,80,11513.1,15839.563,13240.382,10869.73,10048.59,8418.264,6864.842,5579.935,4484.004
"Bonaire, Sint Eustatius and Saba",,,,,,,,,,,,,,,
Bosnia and Herzegovina,3280.819,51209,64.0672,0.9939,0.0004,135,3301,2685.037,3126.648,3429.361,3705.472,3751.176,4463.423,4179.855,3760.529
Botswana,2351.627,582000,4.0406,1.0208,0.0003,145,2303.697,3509.819,2774.34,2120.716,1987.105,1643.334,1286.756,897.868,627.715
Brazil,212559.417,8515767,24.9607,1.0072,0.0273,6,211049.527,228980.4,223852.122,204471.769,195713.635,174790.34,149003.223,120694.009,95113.265
British Virgin Islands,30.231,151,200.2053,1.0067,0,219,30.03,31.541,31.764,29.152,27.794,20.311,17.489,11.478,9.827
Brunei,437.479,5765,75.8853,1.0097,0.0001,175,433.285,492.385,470.99,414.907,388.646,333.165,258.721,193.879,129.529
Bulgaria,6948.445,110879,62.6669,0.9926,0.0009,107,7000.119,5385.441,6416.749,7199.741,7425.008,7997.957,8841.458,8878.791,8507.551
Burkina Faso,20903.273,272967,76.578,1.0286,0.0027,59,20321.378,43432.184,27404.039,18110.624,15605.217,11607.942,8811.034,6822.843,5624.6
Burma,54409.8,676578,80.4191,1.0067,0.007,26,54045.42,62253.43,58478.494,52680.726,50600.818,46719.701,41335.199,34224.313,27269.069
Burundi,11890.784,27834,427.2036,1.0312,0.0015,78,11530.58,25324.761,15772.822,10160.03,8675.602,6378.871,5438.957,4157.298,3479.074
Cabo Verde,555.987,4033,137.8594,1.011,0.0001,172,549.935,679.394,610.057,524.743,492.654,428.188,337.95,283.847,268.627
Cambodia,16718.965,181035,92.3521,1.0141,0.0021,71,16486.542,21860.919,18781.033,15521.436,14312.212,12155.239,8975.597,6693.764,6996.576
Cameroon,26545.863,475442,55.8341,1.0259,0.0034,52,25876.38,50573.042,33766.121,23298.368,20341.241,15513.945,11780.088,8621.406,6519.762
Canada,37742.154,9984670,3.78,1.0089,0.0048,39,37411.047,45669.441,40833.727,36026.676,34147.564,30588.383,27541.319,24416.886,21374.326
Cayman Islands,65.722,264,248.947,1.0119,0,204,64.948,84.655,73.334,61.724,56.672,42.303,25.312,16.212,9.144
